2025-11-24 15:06:16 | Llamada: /api/Clientes/search | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 0 clientes activos | SQL: SELECT [c].[Nombre], [c].[Email] FROM [Clientes] AS [c] WHERE [c].[Activo] = CAST(1 AS bit) | Resultado: Éxito
2025-11-24 15:09:40 | Llamada: /api/Pedidos/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 106; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Error Controller: Error de negocio: Cliente no encontrado |Mensaje Servicio: Error al crear pedido: Cliente no encontrado | Resultado: Error

2025-11-24 15:10:03 | Llamada: /api/Clientes/search | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 2 clientes activos | SQL: SELECT [c].[Nombre], [c].[Email] FROM [Clientes] AS [c] WHERE [c].[Activo] = CAST(1 AS bit) | Resultado: Éxito

2025-11-24 15:10:24 | Llamada: /api/Pedidos/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 118; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Pedido 0001 creado exitosamente con 1 productos | SQL: SELECT TOP(1) [c].[Id], [c].[Activo], [c].[Email], [c].[Nombre] FROM [Clientes] AS [c] WHERE [c].[Email] = @__pedidoDto_EmailCliente_0 AND [c].[Activo] = CAST(1 AS bit) [@__pedidoDto_EmailCliente_0=Franco@example.com]; SELECT [p].[Id], [p].[Activo], [p].[Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Id] IN (     SELECT [p0].[value]     FROM OPENJSON(@__productosValidos_0) WITH ([value] int '$') AS [p0] ) AND [p].[Activo] = CAST(1 AS bit) [@__productosValidos_0=[2]]; SELECT TOP(1) [c].[Id], [c].[ClienteId], [c].[Estado], [c].[FechaPedido], [c].[NumeroPedido] FROM [CabeceraPedidos] AS [c] ORDER BY [c].[Id] DESC; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [CabeceraPedidos] ([ClienteId], [Estado], [FechaPedido], [NumeroPedido]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2, @p3);  [@p0=1, @p1=Pendiente, @p2=24/11/2025 12:10:24, @p3=0001]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [DetallePedidos] ([CabeceraPedidoId], [Cantidad], [NumeroDetalle], [ProductoId]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2, @p3);  [@p0=1, @p1=1, @p2=1, @p3=2] | Resultado: Éxito

2025-11-24 15:10:48 | Llamada: /api/Pedidos/0001/detalles/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 38; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Detalle 2 agregado al pedido 0001 correctamente | SQL: SELECT [t].[Id], [t].[ClienteId], [t].[Estado], [t].[FechaPedido], [t].[NumeroPedido], [t].[Id0], [t].[Activo], [t].[Email], [t].[Nombre], [d].[Id], [d].[CabeceraPedidoId], [d].[Cantidad], [d].[NumeroDetalle], [d].[ProductoId] FROM (     SELECT TOP(1) [c].[Id], [c].[ClienteId], [c].[Estado], [c].[FechaPedido], [c].[NumeroPedido], [c0].[Id] AS [Id0], [c0].[Activo], [c0].[Email], [c0].[Nombre]     FROM [CabeceraPedidos] AS [c]     INNER JOIN [Clientes] AS [c0] ON [c].[ClienteId] = [c0].[Id]     WHERE [c].[NumeroPedido] = @__numeroPedido_0 AND [c0].[Activo] = CAST(1 AS bit) ) AS [t] LEFT JOIN [DetallePedidos] AS [d] ON [t].[Id] = [d].[CabeceraPedidoId] ORDER BY [t].[Id], [t].[Id0] [@__numeroPedido_0=0001]; SELECT TOP(1) [p].[Id], [p].[Activo], [p].[Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Id] = @__detalleDto_ProductoId_0 AND [p].[Activo] = CAST(1 AS bit) [@__detalleDto_ProductoId_0=3]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; INSERT INTO [DetallePedidos] ([CabeceraPedidoId], [Cantidad], [NumeroDetalle], [ProductoId]) OUTPUT INSERTED.[Id] VALUES (@p0, @p1, @p2, @p3);  [@p0=1, @p1=2, @p2=2, @p3=3] | Resultado: Éxito

2025-11-24 15:11:05 | Llamada: /api/Pedidos/0001/detalles/create | IP: 127.0.0.1 | Metodo: POST | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Content-Type: application/json; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; Content-Length: 38; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i | Error Controller: Error de negocio: Producto no encontrado |Mensaje Servicio: Error al crear detalle: Producto no encontrado | SQL: SELECT [t].[Id], [t].[ClienteId], [t].[Estado], [t].[FechaPedido], [t].[NumeroPedido], [t].[Id0], [t].[Activo], [t].[Email], [t].[Nombre], [d].[Id], [d].[CabeceraPedidoId], [d].[Cantidad], [d].[NumeroDetalle], [d].[ProductoId] FROM (     SELECT TOP(1) [c].[Id], [c].[ClienteId], [c].[Estado], [c].[FechaPedido], [c].[NumeroPedido], [c0].[Id] AS [Id0], [c0].[Activo], [c0].[Email], [c0].[Nombre]     FROM [CabeceraPedidos] AS [c]     INNER JOIN [Clientes] AS [c0] ON [c].[ClienteId] = [c0].[Id]     WHERE [c].[NumeroPedido] = @__numeroPedido_0 AND [c0].[Activo] = CAST(1 AS bit) ) AS [t] LEFT JOIN [DetallePedidos] AS [d] ON [t].[Id] = [d].[CabeceraPedidoId] ORDER BY [t].[Id], [t].[Id0] [@__numeroPedido_0=0001] | Resultado: Error

2025-11-24 15:11:27 | Llamada: /api/Productos/1 | IP: 127.0.0.1 | Metodo: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Producto STRING desactivado correctamente | SQL: SELECT TOP(1) [p].[Id], [p].[Activo], [p].[Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Id] = @__id_0 AND [p].[Activo] = CAST(1 AS bit) [@__id_0=1]; SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [DetallePedidos] AS [d]         INNER JOIN [CabeceraPedidos] AS [c] ON [d].[CabeceraPedidoId] = [c].[Id]         WHERE [d].[ProductoId] = @__id_0 AND [c].[Estado] <> N'Cancelado') THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__id_0=1]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; UPDATE [Productos] SET [Activo] = @p0, [Nombre] = @p1, [Precio] = @p2 OUTPUT 1 WHERE [Id] = @p3;  [@p3=1, @p0=False, @p1=STRING, @p2=99999999,99] | Resultado: Éxito

2025-11-24 15:11:43 | Llamada: /api/Productos/2 | IP: 127.0.0.1 | Metodo: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: No se puede eliminar el producto COLA porque está asociado a pedidos activos | SQL: SELECT TOP(1) [p].[Id], [p].[Activo], [p].[Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Id] = @__id_0 AND [p].[Activo] = CAST(1 AS bit) [@__id_0=2]; SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [DetallePedidos] AS [d]         INNER JOIN [CabeceraPedidos] AS [c] ON [d].[CabeceraPedidoId] = [c].[Id]         WHERE [d].[ProductoId] = @__id_0 AND [c].[Estado] <> N'Cancelado') THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__id_0=2] | Resultado: Error

2025-11-24 15:11:51 | Llamada: /api/Productos | IP: 127.0.0.1 | Metodo: GET | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Se consultaron 2 productos activos | SQL: SELECT [p].[Id], UPPER([p].[Nombre]) AS [Nombre], [p].[Precio] FROM [Productos] AS [p] WHERE [p].[Activo] = CAST(1 AS bit) | Resultado: Éxito

2025-11-24 15:12:22 | Llamada: /api/Clientes/delete-by-email/user@example.com | IP: 127.0.0.1 | Metodo: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: Cliente string eliminado correctamente | SQL: SELECT TOP(1) [c].[Id], [c].[Activo], [c].[Email], [c].[Nombre] FROM [Clientes] AS [c] WHERE LOWER([c].[Email]) = @__ToLower_0 AND [c].[Activo] = CAST(1 AS bit) [@__ToLower_0=user@example.com]; SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [CabeceraPedidos] AS [c]         WHERE [c].[ClienteId] = @__cliente_Id_0 AND [c].[Estado] <> N'Cancelado') THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__cliente_Id_0=2]; SET IMPLICIT_TRANSACTIONS OFF; SET NOCOUNT ON; UPDATE [Clientes] SET [Activo] = @p0 OUTPUT 1 WHERE [Id] = @p1;  [@p1=2, @p0=False] | Resultado: Éxito

2025-11-24 15:12:42 | Llamada: /api/Clientes/delete-by-email/Franco@example.com | IP: 127.0.0.1 | Metodo: DELETE | Status: 200 | Headers: Accept: */*; Host: localhost:7054; User-Agent: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 OPR/123.0.0.0; Accept-Encoding: gzip, deflate, br, zstd; Accept-Language: es-ES,es;q=0.9,en;q=0.8,id;q=0.7,ja;q=0.6,th;q=0.5,it;q=0.4; Origin: https://localhost:7054; Referer: https://localhost:7054/swagger/index.html; sec-ch-ua-platform: "Windows"; sec-ch-ua: "Not;A=Brand";v="99", "Opera GX";v="123", "Chromium";v="139"; sec-ch-ua-mobile: ?0; sec-fetch-site: same-origin; sec-fetch-mode: cors; sec-fetch-dest: empty; priority: u=1, i |Mensaje Servicio: No se puede eliminar el cliente Franco porque tiene pedidos asociados | SQL: SELECT TOP(1) [c].[Id], [c].[Activo], [c].[Email], [c].[Nombre] FROM [Clientes] AS [c] WHERE LOWER([c].[Email]) = @__ToLower_0 AND [c].[Activo] = CAST(1 AS bit) [@__ToLower_0=franco@example.com]; SELECT CASE     WHEN EXISTS (         SELECT 1         FROM [CabeceraPedidos] AS [c]         WHERE [c].[ClienteId] = @__cliente_Id_0 AND [c].[Estado] <> N'Cancelado') THEN CAST(1 AS bit)     ELSE CAST(0 AS bit) END [@__cliente_Id_0=1] | Resultado: Error

